directory,filename,prefix,partition,accelerator,nodelist,steps,backend,caware,order,precision,nodes,tasks,etype,elements,DoFs,mean-perf,mean-perf-per-GPU
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks4_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,4.0,hex,96,1097440000.0,5149288761.216609,1287322190.3041523
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes1_tasks4_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,1,4.0,hex,64,320060160.0,4529496446.146836,1132374111.536709
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes1_tasks4_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,1,4.0,hex,32,38132480.0,5994989859.328449,1498747464.8321123
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks4_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,4.0,hex,32,38132480.0,3479160570.659013,869790142.6647532
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes1_tasks4_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,1,4.0,hex,64,320060160.0,6475885258.42829,1618971314.6070726
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks4_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,1,4.0,hex,64,320060160.0,4773958354.077486,1193489588.5193715
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes2_tasks8_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,2,8.0,hex,32,38132480.0,3158443122.580983,394805390.3226229
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes2_tasks8_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,2,8.0,hex,128,2621930240.0,11071134849.34911,1383891856.1686387
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes2_tasks8_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,2,8.0,hex,96,1097440000.0,6165989423.075299,770748677.8844124
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes2_tasks8_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,2,8.0,hex,64,320060160.0,6544329578.197428,818041197.2746785
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes2_tasks8_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,2,8.0,hex,32,38132480.0,4395902554.347746,549487819.2934682
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes2_tasks8_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,2,8.0,hex,64,320060160.0,6319975087.572284,789996885.9465355
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes2_tasks8_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,2,8.0,hex,128,2621930240.0,8836774728.408018,1104596841.0510023
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes2_tasks8_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,2,8.0,hex,96,1097440000.0,10544380984.730732,1318047623.0913415
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes2_tasks8_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,2,8.0,hex,32,38132480.0,3563255776.00208,445406972.00026
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes2_tasks8_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,2,8.0,hex,96,1097440000.0,7772350644.75182,971543830.5939775
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes2_tasks8_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,2,8.0,hex,64,320060160.0,9041888697.082926,1130236087.1353657
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes4_tasks16_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,4,16.0,hex,64,320060160.0,9095418790.494051,568463674.4058782
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes4_tasks16_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,4,16.0,hex,128,2621930240.0,16366613793.043934,1022913362.0652459
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes4_tasks16_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,4,16.0,hex,96,1097440000.0,12047914638.083315,752994664.8802072
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes4_tasks16_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,4,16.0,hex,32,38132480.0,2582989226.769877,161436826.6731173
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes4_tasks16_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,4,16.0,hex,64,320060160.0,11418375170.453194,713648448.1533246
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes4_tasks16_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,4,16.0,hex,128,2621930240.0,13984258123.109737,874016132.6943586
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes4_tasks16_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,4,16.0,hex,32,38132480.0,4088327463.346229,255520466.45913932
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes4_tasks16_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,4,16.0,hex,96,1097440000.0,14830451334.722261,926903208.4201413
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes4_tasks16_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,4,16.0,hex,128,2621930240.0,14521264844.840832,907579052.802552
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes4_tasks16_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,4,16.0,hex,32,38132480.0,3558952685.503355,222434542.8439597
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes4_tasks16_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,4,16.0,hex,96,1097440000.0,12208027357.71553,763001709.8572206
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes4_tasks16_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,4,16.0,hex,64,320060160.0,8542315099.867009,533894693.7416881
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes8_tasks32_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,8,32.0,hex,96,1097440000.0,19374406599.523724,605450206.2351164
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes8_tasks32_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,8,32.0,hex,64,320060160.0,10401010669.95292,325031583.4360288
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes8_tasks32_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,8,32.0,hex,32,38132480.0,4004619707.194057,125144365.84981428
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes8_tasks32_hex256,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,8,32.0,hex,256,21224160000.0,33467839106.292957,1045869972.0716549
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes8_tasks32_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,8,32.0,hex,96,1097440000.0,16712536546.480043,522266767.07750136
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes8_tasks32_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,8,32.0,hex,96,1097440000.0,16375095252.066942,511721726.62709194
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes8_tasks32_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,8,32.0,hex,32,38132480.0,3802988111.286147,118843378.4776921
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes8_tasks32_hex256,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,8,32.0,hex,256,21224160000.0,37678243392.83517,1177445106.026099
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes8_tasks32_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,8,32.0,hex,128,2621930240.0,25548585863.92386,798393308.2476206
