nodelist,nsteps,backend,caware,order,precision,nnodes,nparts-per-node,etype,nelements,partition,gpu
# ac036,100,  cuda,0,3,double, 1,1,hex, 64,gpu,h100
# ac036,100,opencl,0,3,double,10,2,hex,174,gpu,h100
# ac036,100,opencl,0,3,double, 9,2,hex,168,gpu,h100
# ac036,100,opencl,0,3,double, 8,2,hex,161,gpu,h100
# ac036,100,opencl,0,3,double, 7,2,hex,154,gpu,h100
# ac036,100,opencl,0,3,double, 6,2,hex,147,gpu,h100
# ac036,100,opencl,0,3,double, 5,2,hex,138,gpu,h100
# ac036,100,opencl,0,3,double, 4,2,hex,128,gpu,h100
# ac036,100,opencl,0,3,double, 3,2,hex,116,gpu,h100
# ac036,100,opencl,0,3,double, 2,2,hex,102,gpu,h100
# ac036,100,opencl,0,3,double, 1,2,hex, 81,gpu,h100
# ac036,100,opencl,0,3,double, 1,1,hex, 64,gpu,h100

# ac036,100,  cuda,1,3,double,10,2,hex,261,gpu,h100
# ac036,100,  cuda,1,3,double, 9,2,hex,252,gpu,h100
# ac036,100,  cuda,1,3,double, 8,2,hex,242,gpu,h100
# ac036,100,  cuda,1,3,double, 7,2,hex,231,gpu,h100
# ac036,100,  cuda,1,3,double, 6,2,hex,220,gpu,h100
# ac036,100,  cuda,1,3,double, 5,2,hex,207,gpu,h100
# ac036,100,  cuda,1,3,double, 4,2,hex,192,gpu,h100
# ac036,100,  cuda,1,3,double, 3,2,hex,174,gpu,h100
# ac036,100,  cuda,1,3,double, 2,2,hex,152,gpu,h100
# ac036,100,  cuda,1,3,double, 1,2,hex,121,gpu,h100
# ac036,100,  cuda,1,3,double, 1,1,hex, 96,gpu,h100
# ac036,100,  cuda,0,3,double,10,2,hex,261,gpu,h100
# ac036,100,  cuda,0,3,double, 9,2,hex,252,gpu,h100
# ac036,100,  cuda,0,3,double, 8,2,hex,242,gpu,h100
# ac036,100,  cuda,0,3,double, 7,2,hex,231,gpu,h100
# ac036,100,  cuda,0,3,double, 6,2,hex,220,gpu,h100
# ac036,100,  cuda,0,3,double, 5,2,hex,207,gpu,h100
# ac036,100,  cuda,0,3,double, 4,2,hex,192,gpu,h100
# ac036,100,  cuda,0,3,double, 3,2,hex,174,gpu,h100
# ac036,100,  cuda,0,3,double, 2,2,hex,152,gpu,h100
# ac036,100,  cuda,0,3,double, 1,2,hex,121,gpu,h100
# ac036,100,  cuda,0,3,double, 1,1,hex, 96,gpu,h100
# ac036,100,opencl,0,3,double,10,2,hex,261,gpu,h100
# ac036,100,opencl,0,3,double, 9,2,hex,252,gpu,h100
# ac036,100,opencl,0,3,double, 8,2,hex,242,gpu,h100
# ac036,100,opencl,0,3,double, 7,2,hex,231,gpu,h100
# ac036,100,opencl,0,3,double, 6,2,hex,220,gpu,h100
# ac036,100,opencl,0,3,double, 5,2,hex,207,gpu,h100
# ac036,100,opencl,0,3,double, 4,2,hex,192,gpu,h100
# ac036,100,opencl,0,3,double, 3,2,hex,174,gpu,h100
# ac036,100,opencl,0,3,double, 2,2,hex,152,gpu,h100
# ac036,100,opencl,0,3,double, 1,2,hex,121,gpu,h100
# ac036,100,opencl,0,3,double, 1,1,hex, 96,gpu,h100
# 
